,id,objectid_1,marregion,mrgid,iho_sea,iho_id,iho_mrgid,eez,eez_id,country,sovereign,sov_id,eez_mrgid,longitude,latitude,area_m2
413,eez_iho_union_v2.406,413,Greek part of the Adriatic Sea,25613,Adriatic Sea,28g,3314,Greek Exclusive Economic Zone,80,Greece,Greece,80,5679,193.592.666.064,39.897.385.805.433,2296864794
414,eez_iho_union_v2.407,414,Albanian part of the Adriatic Sea,25614,Adriatic Sea,28g,3314,Albanian Exclusive Economic Zone,82,Albania,Albania,82,5670,19.147.386.207.792,4.087.372.742.883,11247977360
415,eez_iho_union_v2.408,415,Italian part of the Adriatic Sea,25615,Adriatic Sea,28g,3314,Italian Exclusive Economic Zone,184,Italy,Italy,184,5682,15.424.150.595.968,4.261.874.422.783,62707996170
416,eez_iho_union_v2.409,416,Croatian part of the Adriatic Sea,25617,Adriatic Sea,28g,3314,Croatian Exclusive Economic Zone,187,Croatia,Croatia,187,5673,15.645.810.500.073,43.436.255.912.864,56131583470
191,eez_iho_union_v2.410,417,Slovenian part of the Adriatic Sea,25619,Adriatic Sea,28g,3314,Slovenian Exclusive Economic Zone,188,Slovenia,Slovenia,188,5692,13.601.083.016.143,45.574.893.960.705,195772648.3
309,eez_iho_union_v2.411,418,Bosnian and Herzegovinian part of the Adriatic Sea,25620,Adriatic Sea,28g,3314,Bosnian and Herzegovinian Exclusive Economic Zone,232,Bosnia and Herzegovina,Bosnia and Herzegovina,232,22491,17.592.964.566.011,42.916.542.809.133,17609028.83
418,eez_iho_union_v2.412,419,Montenegrin part of the Adriatic Sea,25616,Adriatic Sea,28g,3314,Montenegrin Exclusive Economic Zone,186,Montenegro,Montenegro,186,5691,18.692.989.854.472,4.181.631.760.934,7479866915
424,eez_iho_union_v2.416,423,Turkish part of the Aegean Sea,25624,Aegean Sea,28h,3315,Turkish Exclusive Economic Zone,76,Turkey,Turkey,76,5697,26.784.340.977.744,38.607.858.498.726,14420870140
425,eez_iho_union_v2.417,424,Greek part of the Aegean Sea,25625,Aegean Sea,28h,3315,Greek Exclusive Economic Zone,80,Greece,Greece,80,5679,25.039.299.494.706,3.779.732.556.433,1,77482E+11
407,eez_iho_union_v2.396,403,Gibraltarian part of the Alboran Sea,25606,Alboran Sea,28b,3324,Gibraltarian Exclusive Economic Zone,60,Gibraltar,United Kingdom,180,8365,-5.180.698.160.105,36.088.454.237.396,374194007.8
408,eez_iho_union_v2.397,404,Algerian part of the Alboran Sea,25603,Alboran Sea,28b,3324,Algerian Exclusive Economic Zone,84,Algeria,Algeria,84,8378,-1.758.345.006.954,35.568.491.730.151,6921079851
151,eez_iho_union_v2.398,405,Spanish part of the Alboran Sea,25604,Alboran Sea,28b,3324,Spanish Exclusive Economic Zone,182,Spain,Spain,182,5693,-3.463.509.672.254,36.235.906.995.452,28875353410
218,eez_iho_union_v2.399,406,Moroccan part of the Alboran Sea,25602,Alboran Sea,28b,3324,Moroccan Exclusive Economic Zone,62,Morocco,Morocco,62,8367,-3.679.463.461.555,35.519.761.082.258,18017500110
310,eez_iho_union_v2.400,407,Spanish part of the Balearic Sea,25607,Balearic Sea,28c,3322,Spanish Exclusive Economic Zone,182,Spain,Spain,182,5693,194.575.481.177,40.087.056.750.894,80442736660
465,eez_iho_union_v2.451,459,Latvian part of the Baltic Sea,25669,Baltic Sea,1,2401,Latvian Exclusive Economic Zone,69,Latvia,Latvia,69,5683,20.461.959.563.419,56.919.158.848.225,20912166710
467,eez_iho_union_v2.452,460,Estonian part of the Baltic Sea,25670,Baltic Sea,1,2401,Estonian Exclusive Economic Zone,70,Estonia,Estonia,70,5675,2.160.300.406.306,58.663.996.772.838,16946333390
468,eez_iho_union_v2.453,461,Finnish part of the Baltic Sea,25672,Baltic Sea,1,2401,Finnish Exclusive Economic Zone,174,Finland,Finland,174,5676,21.272.556.155.685,59.460.498.671.297,9115083464
469,eez_iho_union_v2.454,463,Lithuanian part of the Baltic Sea,25677,Baltic Sea,1,2401,Lithuanian Exclusive Economic Zone,189,Lithuania,Lithuania,189,5684,20.426.867.621.934,55.727.253.860.614,6096127235
472,eez_iho_union_v2.455,464,Polish part of the Baltic Sea,25674,Baltic Sea,1,2401,Polish Exclusive Economic Zone,178,Poland,Poland,178,5687,17.165.191.255.504,54.912.204.842.023,31881206100
473,eez_iho_union_v2.456,465,Russian part of the Baltic Sea,25680,Baltic Sea,1,2401,Russian Exclusive Economic Zone,73,Russia,Russia,73,5690,19.897.613.308.519,55.194.851.405.439,11557921720
474,eez_iho_union_v2.457,466,Swedish part of the Baltic Sea,25678,Baltic Sea,1,2401,Swedish Exclusive Economic Zone,222,Sweden,Sweden,222,5694,17.856.583.247.006,57.392.745.140.124,91096107420
475,eez_iho_union_v2.458,467,German part of the Baltic Sea,25679,Baltic Sea,1,2401,German Exclusive Economic Zone,176,Germany,Germany,176,5669,1.276.257.714.888,54.461.594.192.154,15298506610
520,eez_iho_union_v2.522,540,Danish part of the Baltic Sea,25673,Baltic Sea,1,2401,Danish Exclusive Economic Zone,175,Denmark,Denmark,175,5674,1.197.106.423.189,54.793.687.928.835,5769535755
82,eez_iho_union_v2.64,65,Norwegian part of the Barentsz Sea,25246,Barentsz Sea,7,4247,Norwegian Exclusive Economic Zone,223,Norway,Norway,223,5686,28.423.535.894.126,75.640.389.298.875,4,48444E+11
83,eez_iho_union_v2.65,66,Russian part of the Barentsz Sea,25247,Barentsz Sea,7,4247,Russian Exclusive Economic Zone,73,Russia,Russia,73,5690,4.883.336.129.148,75.079.407.466.036,9,62731E+11
56,eez_iho_union_v2.36,36,French part of the Bay of Biscay,25218,Bay of Biscay,22,2359,French Exclusive Economic Zone,179,France,France,179,5677,-3.295.519.016.972,45.915.983.739.491,1,03738E+11
58,eez_iho_union_v2.37,37,Spanish part of the Bay of Biscay,25219,Bay of Biscay,22,2359,Spanish Exclusive Economic Zone,182,Spain,Spain,182,5693,-4.879.405.933.053,44.239.718.559.707,71122864170
41,eez_iho_union_v2.21,21,Bulgarian part of the Black Sea,25202,Black Sea,30,3319,Bulgarian Exclusive Economic Zone,71,Bulgaria,Bulgaria,71,5672,2.921.631.893.661,42.942.501.138.983,35175581100
43,eez_iho_union_v2.22,22,Romanian part of the Black Sea,25203,Black Sea,30,3319,Romanian Exclusive Economic Zone,72,Romania,Romania,72,5689,30.046.602.533.256,44.260.346.526.606,29717040590
44,eez_iho_union_v2.23,23,Georgian part of the Black Sea,25204,Black Sea,30,3319,Georgian Exclusive Economic Zone,74,Georgia,Georgia,74,5678,40.554.611.966.431,42.445.649.145.999,22762934700
45,eez_iho_union_v2.24,24,Ukrainian part of the Black Sea,25205,Black Sea,30,3319,Ukrainian Exclusive Economic Zone,75,Ukraine,Ukraine,75,5695,33.032.684.476.404,44.684.041.620.014,1,10299E+11
48,eez_iho_union_v2.25,25,Turkish part of the Black Sea,25206,Black Sea,30,3319,Turkish Exclusive Economic Zone,76,Turkey,Turkey,76,5697,34.639.819.515.428,42.146.467.970.525,1,72363E+11
20,eez_iho_union_v2.26,26,Russian part of the Black Sea,25207,Black Sea,30,3319,Russian Exclusive Economic Zone,73,Russia,Russia,73,5690,38.001.254.315.283,43.628.006.980.718,51155259610
50,eez_iho_union_v2.31,31,United Kingdom part of the Bristol Channel,25213,Bristol Channel,20,3141,United Kingdom Exclusive Economic Zone,180,United Kingdom,United Kingdom,180,5696,-4.023.190.323.937,51.392.436.423.924,5796461539
26,eez_iho_union_v2.38,38,Irish part of the Celtic Sea,25221,Celtic Sea,21A,2351,Irish Exclusive Economic Zone,181,Ireland,Ireland,181,5681,-9.262.192.184.561,5.058.942.807.379,74372570700
27,eez_iho_union_v2.39,39,United Kingdom part of the Celtic Sea,25222,Celtic Sea,21A,2351,United Kingdom Exclusive Economic Zone,180,United Kingdom,United Kingdom,180,5696,-7.226.242.346.461,49.785.209.961.481,85982115190
61,eez_iho_union_v2.40,40,French part of the Celtic Sea,25220,Celtic Sea,21A,2351,French Exclusive Economic Zone,179,France,France,179,5677,-6.173.143.493.275,47.923.776.667.516,54829792780
51,eez_iho_union_v2.32,32,Jersey part of the English Channel,25215,English Channel,21,2389,Jersey Exclusive Economic Zone,227,Jersey,United Kingdom,180,21789,-2.230.278.183.435,4.908.880.436.596,2956071790
52,eez_iho_union_v2.33,33,Guernsey part of the English Channel,25216,English Channel,21,2389,Guernsey Exclusive Economic Zone,228,Guernsey,United Kingdom,180,21788,-2.732.397.245.346,49.647.771.834.285,8666394700
53,eez_iho_union_v2.34,34,United Kingdom part of the English Channel,25217,English Channel,21,2389,United Kingdom Exclusive Economic Zone,180,United Kingdom,United Kingdom,180,5696,-2.405.433.831.828,50.242.437.479.642,34653791610
55,eez_iho_union_v2.35,35,French part of the English Channel,25214,English Channel,21,2389,French Exclusive Economic Zone,179,France,France,179,5677,-1.574.562.860.319,49.566.119.620.659,34700062370
400,eez_iho_union_v2.386,392,Finnish part of the Gulf of Bothnia,25592,Gulf of Bothnia,1a,2402,Finnish Exclusive Economic Zone,174,Finland,Finland,174,5676,2.145.341.408.197,62.219.986.313.091,64585379780
401,eez_iho_union_v2.387,393,Swedish part of the Gulf of Bothnia,25593,Gulf of Bothnia,1a,2402,Swedish Exclusive Economic Zone,222,Sweden,Sweden,222,5694,20.036.684.873.138,62.970.609.929.456,54249449490
35,eez_iho_union_v2.388,394,Estonian part of the Gulf of Finland,25594,Gulf of Finland,1b,2407,Estonian Exclusive Economic Zone,70,Estonia,Estonia,70,5675,25.425.345.323.431,59.614.418.722.811,8275596436
59,eez_iho_union_v2.389,395,Finnish part of the Gulf of Finland,25595,Gulf of Finland,1b,2407,Finnish Exclusive Economic Zone,174,Finland,Finland,174,5676,25.341.418.230.259,60.049.520.408.259,10063008330
136,eez_iho_union_v2.390,396,Russian part of the Gulf of Finland,25596,Gulf of Finland,1b,2407,Russian Exclusive Economic Zone,73,Russia,Russia,73,5690,28.063.680.903.962,60.044.465.382.062,11597177740
402,eez_iho_union_v2.391,398,Latvian part of the Gulf of Riga,25597,Gulf of Riga,1c,2409,Latvian Exclusive Economic Zone,69,Latvia,Latvia,69,5683,23.503.282.630.609,57.490.533.364.322,7867941863
403,eez_iho_union_v2.392,399,Estonian part of the Gulf of Riga,25598,Gulf of Riga,1c,2409,Estonian Exclusive Economic Zone,70,Estonia,Estonia,70,5675,23.278.057.758.434,58.253.867.480.597,10551431120
1,eez_iho_union_v2.1,1,Irish part of the Inner Seas off the West Coast of Scotland,25177,Inner Seas off the West Coast of Scotland,18,4283,Irish Exclusive Economic Zone,181,Ireland,Ireland,181,5681,-7.502.138.528.492,55.501.062.115.418,5258240645
2,eez_iho_union_v2.2,2,United Kingdom part of the Inner Seas off the West Coast of Scotland,25178,Inner Seas off the West Coast of Scotland,18,4283,United Kingdom Exclusive Economic Zone,180,United Kingdom,United Kingdom,180,5696,-6.285.809.470.552,56.523.938.299.043,38531637040
419,eez_iho_union_v2.413,420,Greek part of the Ionian Sea,25621,Ionian Sea,28f,3351,Greek Exclusive Economic Zone,80,Greece,Greece,80,5679,20.073.956.637.876,37.796.279.306.636,85148894610
420,eez_iho_union_v2.414,421,Albanian part of the Ionian Sea,25622,Ionian Sea,28f,3351,Albanian Exclusive Economic Zone,82,Albania,Albania,82,5670,19.970.429.536.349,39.680.054.789.045,27654790.15
423,eez_iho_union_v2.415,422,Italian part of the Ionian Sea,25623,Ionian Sea,28f,3351,Italian Exclusive Economic Zone,184,Italy,Italy,184,5682,17.228.776.643.765,38.200.462.059.009,87470436600
46,eez_iho_union_v2.29,29,Irish part of the Irish Sea and St. George's Channel,25211,Irish Sea and St. George's Channel,19,2357,Irish Exclusive Economic Zone,181,Ireland,Ireland,181,5681,-5.812.252.517.765,53.031.032.940.285,10382061380
47,eez_iho_union_v2.30,30,United Kingdom part of the Irish Sea and St. George's Channel,25212,Irish Sea and St. George's Channel,19,2357,United Kingdom Exclusive Economic Zone,180,United Kingdom,United Kingdom,180,5696,-4.507.087.054.716,53.564.516.609.379,35431677510
62,eez_iho_union_v2.41,42,Danish part of the Kattegat,25224,Kattegat,2,2374,Danish Exclusive Economic Zone,175,Denmark,Denmark,175,5674,12.066.566.783.351,55.942.665.560.386,36894009790
63,eez_iho_union_v2.42,43,Swedish part of the Kattegat,25225,Kattegat,2,2374,Swedish Exclusive Economic Zone,222,Sweden,Sweden,222,5694,12.112.716.285.764,56.883.585.061.853,8005822937
64,eez_iho_union_v2.43,44,German part of the Kattegat,25226,Kattegat,2,2374,German Exclusive Economic Zone,176,Germany,Germany,176,5669,9.732.527.377.345,54.822.121.340.577,151528092.2
386,eez_iho_union_v2.401,408,Italian part of the Ligurian Sea,25608,Ligurian Sea,28d,3363,Italian Exclusive Economic Zone,184,Italy,Italy,184,5682,8.880.189.384.707,43.872.543.922.503,12675902030
409,eez_iho_union_v2.402,409,French part of the Ligurian Sea,25609,Ligurian Sea,28d,3363,French Exclusive Economic Zone,179,France,France,179,5677,9.107.715.655.176,43.327.103.957.449,2577673945
10,eez_iho_union_v2.9,9,Tunisian part of the Mediterranean Sea - Eastern Basin,25188,Mediterranean Sea - Eastern Basin,28B,4280,Tunisian Exclusive Economic Zone,61,Tunisia,Tunisia,61,8366,11.615.802.428.673,35.199.600.308.323,66746729870
13,eez_iho_union_v2.10,10,Libyan part of the Mediterranean Sea - Eastern Basin,25189,Mediterranean Sea - Eastern Basin,28B,4280,Libyan Exclusive Economic Zone,67,Libya,Libya,67,8372,18.460.503.869.434,33.100.823.172.116,3,57017E+11
4,eez_iho_union_v2.11,11,Maltese part of the Mediterranean Sea - Eastern Basin,25190,Mediterranean Sea - Eastern Basin,28B,4280,Maltese Exclusive Economic Zone,68,Malta,Malta,68,5685,15.294.186.617.296,35.295.563.830.195,55481194080
14,eez_iho_union_v2.12,12,Turkish part of the Mediterranean Sea - Eastern Basin,25191,Mediterranean Sea - Eastern Basin,28B,4280,Turkish Exclusive Economic Zone,76,Turkey,Turkey,76,5697,31.849.742.376.096,36.054.759.610.587,57881932020
6,eez_iho_union_v2.13,13,Syrian part of the Mediterranean Sea - Eastern Basin,25192,Mediterranean Sea - Eastern Basin,28B,4280,Syrian Exclusive Economic Zone,77,Syria,Syria,77,8373,35.499.344.247.939,35.338.190.298.702,10238997250
11,eez_iho_union_v2.14,14,Lebanese part of the Mediterranean Sea - Eastern Basin,25193,Mediterranean Sea - Eastern Basin,28B,4280,Lebanese Exclusive Economic Zone,78,Lebanon,Lebanon,78,8374,34.932.800.400.849,3.394.709.943.066,19220740110
15,eez_iho_union_v2.15,15,Greek part of the Mediterranean Sea - Eastern Basin,25195,Mediterranean Sea - Eastern Basin,28B,4280,Greek Exclusive Economic Zone,80,Greece,Greece,80,5679,24.654.038.293.184,34.931.725.104.547,2,3111E+11
19,eez_iho_union_v2.16,16,Cypriote part of the Mediterranean Sea - Eastern Basin,25196,Mediterranean Sea - Eastern Basin,28B,4280,Cypriote Exclusive Economic Zone,81,Cyprus,Cyprus,81,8376,32.637.453.656.549,34.490.672.159.147,98237296130
21,eez_iho_union_v2.17,17,Italian part of the Mediterranean Sea - Eastern Basin,25197,Mediterranean Sea - Eastern Basin,28B,4280,Italian Exclusive Economic Zone,184,Italy,Italy,184,5682,15.069.001.882.674,36.281.331.548.837,74992972200
23,eez_iho_union_v2.18,18,Egyptian part of the Mediterranean Sea - Eastern Basin,25198,Mediterranean Sea - Eastern Basin,28B,4280,Egyptian Exclusive Economic Zone,214,Egypt,Egypt,214,8490,29.619.946.386.016,32.262.149.318.813,1,71068E+11
16,eez_iho_union_v2.19,19,Israeli part of the Mediterranean Sea - Eastern Basin,25194,Mediterranean Sea - Eastern Basin,28B,4280,Israeli Exclusive Economic Zone,79,Israel,Israel,79,8375,34.082.579.863.667,32.549.939.040.058,27727541800
3,eez_iho_union_v2.3,3,Tunisian part of the Mediterranean Sea - Western Basin,25179,Mediterranean Sea - Western Basin,28A,4279,Tunisian Exclusive Economic Zone,61,Tunisia,Tunisia,61,8366,9.743.330.038.828,37.647.152.633.452,34165665610
5,eez_iho_union_v2.4,4,Algerian part of the Mediterranean Sea - Western Basin,25180,Mediterranean Sea - Western Basin,28A,4279,Algerian Exclusive Economic Zone,84,Algeria,Algeria,84,8378,3.739.825.643.846,37.283.762.738.773,1,22035E+11
8,eez_iho_union_v2.5,5,Italian part of the Mediterranean Sea - Western Basin,25181,Mediterranean Sea - Western Basin,28A,4279,Italian Exclusive Economic Zone,184,Italy,Italy,184,5682,7.809.521.069.164,39.829.659.865.106,91493296950
525,eez_iho_union_v2.6,6,French part of the Mediterranean Sea - Western Basin,25185,Mediterranean Sea - Western Basin,28A,4279,French Exclusive Economic Zone,179,France,France,179,5677,6.417.046.231.444,42.534.167.061.886,78604440810
36,eez_iho_union_v2.7,7,Spanish part of the Mediterranean Sea - Western Basin,25186,Mediterranean Sea - Western Basin,28A,4279,Spanish Exclusive Economic Zone,182,Spain,Spain,182,5693,3.047.244.547.283,39.292.707.526.839,1,50608E+11
9,eez_iho_union_v2.8,8,Monégasque part of the Mediterranean Sea - Western Basin,25184,Mediterranean Sea - Western Basin,28A,4279,Monégasque Exclusive Economic Zone,185,Monaco,Monaco,185,21790,7.584.789.165.983,43.355.774.680.341,285661880.5
159,eez_iho_union_v2.130,131,Portuguese (Azores) part of the North Atlantic Ocean,25318,North Atlantic Ocean,23,1912,Portuguese Exclusive Economic Zone (Azores),55,Azores,Portugal,183,8361,-28.016.850.874.262,38.472.981.329.572,9,54962E+11
160,eez_iho_union_v2.131,132,Cape Verdean part of the North Atlantic Ocean,25319,North Atlantic Ocean,23,1912,Cape Verdean Exclusive Economic Zone,56,Cape Verde,Cape Verde,56,8362,-24.170.102.368.251,16.091.893.590.218,7,99378E+11
162,eez_iho_union_v2.132,133,Portuguese (Madeira) part of the North Atlantic Ocean,25320,North Atlantic Ocean,23,1912,Portuguese Exclusive Economic Zone (Madeira),57,Madeira,Portugal,183,8363,-16.810.643.004.234,33.151.316.978.382,4,54054E+11
165,eez_iho_union_v2.133,134,Spanish (Canary Islands) part of the North Atlantic Ocean,25321,North Atlantic Ocean,23,1912,Spanish Exclusive Economic Zone (Canary Islands),58,Canary Islands,Spain,182,8364,-17.542.786.646.146,28.390.786.289.704,4,49063E+11
186,eez_iho_union_v2.154,155,Faeroe Islands part of the North Atlantic Ocean,25347,North Atlantic Ocean,23,1912,Faeroe Islands Exclusive Economic Zone,141,Faeroe Islands,Denmark,175,8435,-9.138.800.168.586,61.461.852.073.149,1,40066E+11
37,eez_iho_union_v2.165,166,Irish part of the North Atlantic Ocean,25361,North Atlantic Ocean,23,1912,Irish Exclusive Economic Zone,181,Ireland,Ireland,181,5681,-12.629.149.579.687,53.050.087.084.665,3,18595E+11
39,eez_iho_union_v2.167,168,Portuguese part of the North Atlantic Ocean,25368,North Atlantic Ocean,23,1912,Portuguese Exclusive Economic Zone,183,Portugal,Portugal,183,5688,-10.931.479.231.871,38.307.460.809.605,3,11362E+11
197,eez_iho_union_v2.168,169,United Kingdom part of the North Atlantic Ocean,25362,North Atlantic Ocean,23,1912,United Kingdom Exclusive Economic Zone,180,United Kingdom,United Kingdom,180,5696,-8.853.981.677.806,58.400.311.973.312,2,5794E+11
117,eez_iho_union_v2.171,172,French part of the North Atlantic Ocean,25360,North Atlantic Ocean,23,1912,French Exclusive Economic Zone,179,France,France,179,5677,-7.781.939.811.121,4.659.651.951.274,49914074430
120,eez_iho_union_v2.172,173,Spanish part of the North Atlantic Ocean,25366,North Atlantic Ocean,23,1912,Spanish Exclusive Economic Zone,182,Spain,Spain,182,5693,-10.476.765.371.589,43.440.010.174.319,2,22764E+11
60,eez_iho_union_v2.47,48,Belgian part of the North Sea,26567,North Sea,4,2350,Belgian Exclusive Economic Zone,59,Belgium,Belgium,59,3293,2.703.577.502.374,51.465.797.918.128,3444407475
67,eez_iho_union_v2.48,49,Danish part of the North Sea,25231,North Sea,4,2350,Danish Exclusive Economic Zone,175,Denmark,Denmark,175,5674,6.539.745.149.784,56.169.300.239.036,49820539270
68,eez_iho_union_v2.49,50,Dutch part of the North Sea,25232,North Sea,4,2350,Dutch Exclusive Economic Zone,177,Netherlands,Netherlands,177,5668,4.188.581.712.004,53.623.705.588.214,63727681920
69,eez_iho_union_v2.50,51,United Kingdom part of the North Sea,25235,North Sea,4,2350,United Kingdom Exclusive Economic Zone,180,United Kingdom,United Kingdom,180,5696,0.340059626452,56.670.950.248.144,2,45287E+11
70,eez_iho_union_v2.51,52,Norwegian part of the North Sea,25233,North Sea,4,2350,Norwegian Exclusive Economic Zone,223,Norway,Norway,223,5686,4.058.819.157.873,58.591.406.304.506,1,19547E+11
71,eez_iho_union_v2.52,53,French part of the North Sea,25234,North Sea,4,2350,French Exclusive Economic Zone,179,France,France,179,5677,2.104.363.191.321,51.187.988.789.971,1927370450
72,eez_iho_union_v2.53,54,German part of the North Sea,26568,North Sea,4,2350,German Exclusive Economic Zone,176,Germany,Germany,176,5669,6.793.483.894.013,54.588.366.915.572,41350535760
76,eez_iho_union_v2.58,59,Faeroe Islands part of the Norwegian Sea,25240,Norwegian Sea,6,2353,Faeroe Islands Exclusive Economic Zone,141,Faeroe Islands,Denmark,175,8435,-4.844.418.082.151,63.787.609.132.488,1,25725E+11
77,eez_iho_union_v2.59,60,Jan Mayen part of the Norwegian Sea,25241,Norwegian Sea,6,2353,Jan Mayen Exclusive Economic Zone,144,Jan Mayen,Norway,223,8437,-3.459.372.521.893,70.282.245.964.797,1,72811E+11
78,eez_iho_union_v2.60,61,Icelandic part of the Norwegian Sea,25243,Norwegian Sea,6,2353,Icelandic Exclusive Economic Zone,143,Iceland,Iceland,143,5680,-9.473.222.181.981,66.381.314.002.561,1,283E+11
79,eez_iho_union_v2.61,62,United Kingdom part of the Norwegian Sea,25244,Norwegian Sea,6,2353,United Kingdom Exclusive Economic Zone,180,United Kingdom,United Kingdom,180,5696,-0.610161707169,62.093.918.903.344,50238018230
80,eez_iho_union_v2.62,63,Norwegian part of the Norwegian Sea,25242,Norwegian Sea,6,2353,Norwegian Exclusive Economic Zone,223,Norway,Norway,223,5686,1.117.230.221.378,69.259.241.373.166,7,33261E+11
484,eez_iho_union_v2.495,511,High seas of the Norwegian Sea,25711,Norwegian Sea,6,2353,NA,0,NA,NA,0,0,1.728.319.964.495,69.193.934.927.975,2,45115E+11
22,eez_iho_union_v2.27,27,Ukrainian part of the Sea of Azov,25209,Sea of Azov,31,3320,Ukrainian Exclusive Economic Zone,75,Ukraine,Ukraine,75,5695,36.062.018.895.463,46.118.295.552.533,25414119070
24,eez_iho_union_v2.28,28,Russian part of the Sea of Azov,25210,Sea of Azov,31,3320,Russian Exclusive Economic Zone,73,Russia,Russia,73,5690,37.682.600.738.724,46.189.419.772.394,15757183230
40,eez_iho_union_v2.20,20,Turkish part of the Sea of Marmara,25201,Sea of Marmara,29,3369,Turkish Exclusive Economic Zone,76,Turkey,Turkey,76,5697,2.814.588.450.839,40.670.220.289.343,11873163110
57,eez_iho_union_v2.44,45,Danish part of the Skaggerak,25227,Skaggerak,3,2379,Danish Exclusive Economic Zone,175,Denmark,Denmark,175,5674,9.500.404.461.849,57.656.106.817.961,10308279700
65,eez_iho_union_v2.45,46,Norwegian part of the Skaggerak,25229,Skaggerak,3,2379,Norwegian Exclusive Economic Zone,223,Norway,Norway,223,5686,922.406.649.217,58.376.212.278.043,15606983460
66,eez_iho_union_v2.46,47,Swedish part of the Skaggerak,25228,Skaggerak,3,2379,Swedish Exclusive Economic Zone,222,Sweden,Sweden,222,5694,10.881.881.317.695,58.376.706.470.665,6513140733
404,eez_iho_union_v2.393,400,Gibraltarian part of the Strait of Gibraltar,25601,Strait of Gibraltar,28a,3346,Gibraltarian Exclusive Economic Zone,60,Gibraltar,United Kingdom,180,8365,-5.360.053.591.524,36.095.833.923.184,51401072.17
405,eez_iho_union_v2.394,401,Spanish part of the Strait of Gibraltar,25600,Strait of Gibraltar,28a,3346,Spanish Exclusive Economic Zone,182,Spain,Spain,182,5693,-5.706.713.854.835,36.032.429.218.906,904719163.1
406,eez_iho_union_v2.395,402,Moroccan part of the Strait of Gibraltar,25599,Strait of Gibraltar,28a,3346,Moroccan Exclusive Economic Zone,62,Morocco,Morocco,62,8367,-5.704.210.523.672,35.888.534.415.608,673891932.5
410,eez_iho_union_v2.403,410,Tunisian part of the Tyrrhenian Sea,25610,Tyrrhenian Sea,28e,3386,Tunisian Exclusive Economic Zone,61,Tunisia,Tunisia,61,8366,10.640.509.483,38.349.835.421,119360390.8
411,eez_iho_union_v2.404,411,Italian part of the Tyrrhenian Sea,25611,Tyrrhenian Sea,28e,3386,Italian Exclusive Economic Zone,184,Italy,Italy,184,5682,12.232.630.395.072,4.005.807.049.531,2,09636E+11
412,eez_iho_union_v2.405,412,French part of the Tyrrhenian Sea,25612,Tyrrhenian Sea,28e,3386,French Exclusive Economic Zone,179,France,France,179,5677,969.893.020.522,42.054.214.001.726,7369923961
81,eez_iho_union_v2.63,64,Russian part of the White Sea,25245,White Sea,8,4248,Russian Exclusive Economic Zone,73,Russia,Russia,73,5690,39.301.937.928.078,66.255.035.041.565,88968465990
